Word,POS,Frequency
thesaurus,NOUN,124
habito,VERB,123
poena,NOUN,123
exeo,VERB,123
gens,NOUN,123
ignorantia,NOUN,122
superbia,NOUN,122
os,NOUN,122
arbor,NOUN,122
uinco,NOUN,122
ordino,NOUN,121
praedico,VERB,121
pulcher,ADJ,120
medio,ADJ,119
sponsus,NOUN,117
gaudeo,VERB,117
divinus,ADJ,117
johannus,NOUN,117
moyses,NOUN,117
apprehendo,VERB,116
causa,NOUN,116
capitulum,NOUN,116
perdo,NOUN,115
spero,VERB,115
aequalitas,NOUN,115
procedo,VERB,114
promitto,VERB,114
calor,NOUN,113
inuisibilis,ADJ,113
johan,VERB,111
pontifex,NOUN,111
diuitia,NOUN,111
religio,NOUN,111
ouis,NOUN,111
assumo,VERB,110
saluo,ADJ,110
peruenio,VERB,110
complico,VERB,109
incorruptibilis,ADJ,109
contineo,VERB,109
delectatio,NOUN,109
comprehendo,VERB,109
scriptura,NOUN,109
possideo,VERB,109
natiuitas,NOUN,108
malus,ADJ,108
deficio,NOUN,108
superior,ADJ,107
filiatio,NOUN,107
incipio,VERB,106
littera,NOUN,106
praeceptum,NOUN,105
abscondo,VERB,105
eleuo,VERB,105
sapio,NOUN,105
omnipotens,ADJ,104
aurum,NOUN,104
consequor,VERB,104
sedeo,VERB,103
paradisus,NOUN,103
absoluo,ADV,102
pecco,VERB,102
quies,NOUN,102
adoro,VERB,102
perficio,VERB,101
abraha,VERB,101
pauper,ADJ,100
honor,NOUN,99
intueor,VERB,98
cura,NOUN,98
ostensio,NOUN,98
exalto,VERB,98
luca,NOUN,98
consummo,ADV,97
necessitas,NOUN,97
possibilis,ADJ,97
nobilis,ADJ,96
communis,ADJ,96
formo,NOUN,96
lignum,NOUN,96
seruo,ADJ,95
exspecto,VERB,95
sacerdos,NOUN,95
cresco,VERB,95
trado,VERB,94
terrenus,ADJ,94
diuinitas,NOUN,94
probo,VERB,93
nolo,VERB,93
purus,ADJ,93
reuelatio,NOUN,93
infirmitas,NOUN,93
facies,VERB,92
cor,ADJ,92
reuelo,VERB,92
generatio,NOUN,91
intellegentia,NOUN,91
miraculum,NOUN,91
aer,NOUN,91
nescio,VERB,91
praesens,ADJ,90
persona,NOUN,90
malignus,ADJ,90
curo,VERB,89
contemplatio,NOUN,89
placeo,VERB,89
claritas,NOUN,89
magnes,NOUN,89
mysterium,NOUN,88
indigeo,VERB,88
daemonium,NOUN,88
clamo,VERB,88
color,NOUN,88
fecunditas,NOUN,88
romanus,ADJ,87
expono,VERB,87
mando,VERB,87
uetus,ADJ,87
dignus,ADJ,87
corruptibilis,ADJ,87
sufficio,NOUN,87
significo,VERB,87
praesto,ADV,87
epistula,NOUN,86
annuntio,NOUN,86
sumo,VERB,86
matthaeus,NOUN,86
iudaeus,ADJ,86
quiesco,VERB,86
testamentum,NOUN,86
necesse,ADJ,85
euangelium,ADJ,85
participatio,NOUN,85
infernus,ADJ,85
apprehensio,NOUN,85
maior,ADJ,84
cogito,VERB,84
subdo,VERB,84
timeo,VERB,84
eicio,VERB,84
laus,NOUN,83
fortis,ADJ,83
sano,ADJ,83
procedo,ADP,82
separo,VERB,82
ualeo,VERB,82
patientia,NOUN,82
puto,VERB,82
exprimo,ADV,82
sabbatum,NOUN,82
absoluo,ADJ,81
constituo,VERB,80
contraho,VERB,80
oboedio,ADJ,80
transfero,VERB,80
explico,VERB,80
heres,NOUN,80
uarius,ADJ,80
regio,NOUN,80
sponsa,NOUN,79
concipio,NOUN,79
conseruo,ADJ,79
acquiro,ADV,79
initium,NOUN,79
supremus,ADJ,79
decipio,VERB,79
mensura,NOUN,79
nox,NOUN,78
redeo,VERB,78
officium,NOUN,78
abraham,NOUN,78
uictoria,NOUN,78
gloriosus,ADJ,78
timor,NOUN,78
marius,ADJ,78
genus,NOUN,78
israel,NOUN,78
unitas,VERB,78
crucifigo,NOUN,78
humilis,ADJ,77
relinquo,VERB,77
transeo,ADV,77
pereo,VERB,77
mirabilis,ADJ,77
seruus,ADJ,77
purgo,NOUN,77
hora,NOUN,76
aduentus,NOUN,76
doctor,NOUN,76
reuertor,NOUN,76
propono,VERB,76
libertas,NOUN,76
iustifico,ADJ,76
ferrum,NOUN,76
addo,VERB,75
careo,VERB,75
porto,VERB,75
numerus,NOUN,75
malum,NOUN,74
deuotio,NOUN,74
colo,VERB,74
comparo,VERB,74
caecus,ADJ,74
salomon,NOUN,74
traho,VERB,74
gratus,ADJ,73
altissimus,ADJ,73
lingua,NOUN,73
ostium,NOUN,73
uitium,NOUN,72
perhibeo,VERB,72
affectus,NOUN,72
filia,NOUN,72
principatus,NOUN,72
requiro,VERB,72
defectus,NOUN,72
exterior,ADJ,71
reddo,VERB,71
beatitudo,NOUN,71
gero,VERB,71
apocalypsis,NOUN,71
imperium,NOUN,71
certus,ADJ,71
auris,NOUN,71
diuido,ADJ,70
cesso,VERB,70
impossibilis,ADJ,69
praefero,VERB,69
simplex,ADJ,69
amicus,NOUN,69
praemitto,VERB,69
colligo,VERB,69
aduenio,VERB,69
saluus,ADJ,69
radius,NOUN,68
infirmus,ADJ,68
necesse,ADV,68
ager,NOUN,68
pietas,NOUN,68
signo,NOUN,68
benedico,ADJ,68
saluatio,NOUN,68
inferior,ADJ,68
singulus,ADJ,68
regno,NOUN,68
aequalis,ADJ,68
multitudo,NOUN,68
culpa,NOUN,68
surgo,NOUN,67
remaneo,VERB,67
intro,ADP,67
princeps,ADJ,67
paro,VERB,67
reuelo,NOUN,66
tollo,DET,66
splendor,NOUN,66
nauis,NOUN,66
viuus,ADJ,65
unicus,ADJ,65
porta,NOUN,65
thema,NOUN,65
paenitentia,NOUN,65
annus,NOUN,65
materia,NOUN,65
contrarius,ADJ,65
temptatio,NOUN,65
confido,VERB,65
curro,VERB,65
fortitudo,NOUN,65
conscientia,NOUN,65
esurio,NOUN,65
spiritalis,ADJ,65
tristitia,NOUN,64
describo,VERB,64
tango,NOUN,63
dulcedo,NOUN,63
genesis,NOUN,63
error,NOUN,63
conceptus,VERB,63
pertingo,VERB,62
intelligentia,NOUN,62
dono,NOUN,62
committo,VERB,62
labor,NOUN,61
ministro,NOUN,61
oblatio,NOUN,61
sanctificatio,NOUN,61
subsisto,VERB,61
incarno,ADJ,61
creatio,NOUN,61
distribuo,VERB,60
carnalis,ADJ,60
subiungo,NOUN,60
diues,NOUN,59
adhaereo,VERB,59
promissio,NOUN,59
ira,NOUN,59
mons,NOUN,59
paruus,ADJ,59
aufero,VERB,58
dominor,ADJ,58
illuminatio,NOUN,58
resurgo,VERB,58
inimicus,ADJ,58
semino,NOUN,58
praecedo,VERB,58
terminus,NOUN,58
historia,NOUN,57
eo,PRON,57
primogenitus,ADJ,57
permitto,VERB,57
subicio,NOUN,57
incognitus,VERB,57
baptizo,VERB,57
altitudo,NOUN,57
agnus,NOUN,56
bibo,VERB,56
uestis,NOUN,56
purgatio,NOUN,56
quaestio,NOUN,56
omnipotentia,NOUN,56
luna,NOUN,56
gentilis,NOUN,56
uitalis,ADJ,56
emo,NOUN,56
delectabilis,ADJ,55
luceo,NOUN,55
diuisio,NOUN,55
innocentia,NOUN,55
speculum,NOUN,55
impleo,VERB,55
rapio,VERB,55
diuersus,ADJ,55
confessio,NOUN,55
magnitudo,NOUN,55
aedifico,VERB,55
refectio,NOUN,55
nexus,NOUN,55
proficio,VERB,55
prudentia,NOUN,55
animus,NOUN,54
profero,VERB,54
circumcisio,NOUN,54
minor,ADJ,54
uterus,NOUN,54
piscis,NOUN,54
tollo,VERB,54
seruitus,NOUN,54
auaritia,NOUN,54
adimpleo,VERB,53
amarus,ADJ,53
granum,NOUN,53
studeo,VERB,53
tabernaculum,NOUN,53
sollicitus,ADJ,53
sperno,ADJ,53
communico,ADV,53
dubito,VERB,53
festum,ADJ,53
regula,NOUN,53
hereditas,NOUN,53
fateor,VERB,53
auditus,NOUN,52
foedus,NOUN,52
status,NOUN,52
simplicitas,NOUN,52
claudo,VERB,52
offendo,VERB,52
uoluptas,NOUN,52
laudo,VERB,52
iudex,NOUN,52
corinthius,ADV,52
uitis,NOUN,52
impedio,VERB,52
turba,NOUN,52
misericors,ADJ,52
luxuria,NOUN,51
petrum,NOUN,51
uxor,NOUN,51
sententia,NOUN,51
nitor,NOUN,51
custodio,NOUN,51
uado,VERB,51
persecutio,NOUN,51
radix,NOUN,51
sedes,NOUN,51
optimus,ADJ,51
petra,NOUN,51
benedico,VERB,51
gusto,NOUN,51
animalitas,NOUN,50
remuneratio,NOUN,50
consisto,VERB,50
intentio,NOUN,50
praetereo,VERB,50
baptista,NOUN,49
sacer,ADJ,49
haurio,NOUN,49
aeterno,ADJ,49
clarus,ADJ,49
praesum,VERB,49
dator,NOUN,49
recedo,VERB,49
complementum,NOUN,49
perpetuus,ADJ,49
reluceo,VERB,49
pergo,VERB,49
christiformis,ADJ,49
nego,VERB,49
uendo,VERB,49
damno,NOUN,49
lucidus,ADJ,48
transeo,SCONJ,48
diuino,ADJ,48
mysticus,ADJ,48
originalis,ADJ,48
jerusalis,ADJ,48
adsum,VERB,48
paupertas,NOUN,48
imitor,NOUN,48
confiteor,VERB,48
remissio,NOUN,48
pondus,NOUN,48
serpens,NOUN,48
uanus,ADJ,47
meritum,VERB,47
fugio,NOUN,47
messia,NOUN,47
complico,ADJ,47
differentia,NOUN,47
iungo,VERB,47
seruus,NOUN,47
canonicus,NOUN,47
dolor,NOUN,47
praecipio,VERB,47
isaia,NOUN,47
fidelitas,NOUN,47
gustus,NOUN,46
instituo,VERB,46
terrestris,ADJ,46
tribuo,VERB,46
uiuo,VERB,46
attraho,VERB,46
sacrificium,NOUN,46
ligo,NOUN,46
declaro,VERB,45
arma,NOUN,45
reficio,NOUN,45
prior,ADJ,45
pretiosus,ADJ,45
calidus,ADJ,45
intendo,VERB,45
contemplatiuus,ADJ,45
adipiscor,VERB,45
bellum,NOUN,45
haesito,VERB,45
arguo,VERB,45
induco,VERB,45
johannus,ADJ,45
uentus,NOUN,45
longitudo,NOUN,45
denarius,ADJ,45
dominicus,NOUN,44
perduco,VERB,44
seruo,NOUN,44
concludo,NOUN,44
pharisaeus,NOUN,44
coincido,ADJ,44
medicus,NOUN,44
gigno,NOUN,44
congrego,VERB,44
elementum,NOUN,44
conformo,VERB,43
malum,ADJ,43
umbra,NOUN,43
requies,NOUN,43
admirabilis,ADJ,43
condicio,NOUN,43
consolatio,NOUN,43
conuersio,NOUN,43
repleo,VERB,43
studium,NOUN,43
confero,VERB,43
mansio,NOUN,43
sanus,ADJ,43
glorifico,VERB,43
inquiro,NOUN,43
obiectum,NOUN,43
uisito,VERB,43
euangelista,NOUN,43
philosophus,NOUN,43
augeo,VERB,43
discretio,NOUN,43
malo,VERB,43
sollicitudo,NOUN,43
familia,NOUN,43
hostia,NOUN,42
minister,NOUN,42
utilitas,NOUN,42
orbis,NOUN,42
praesumptio,NOUN,42
humilio,ADJ,42
sitio,NOUN,42
comedo,VERB,42
occulto,VERB,42
odium,NOUN,42
sensualitas,NOUN,42
permaneo,VERB,42
benedictio,NOUN,42
uiator,NOUN,42
inclino,ADJ,42
certitudo,NOUN,42
dulcis,ADJ,41
origo,NOUN,41
exsisto,VERB,41
digitus,NOUN,41
dubius,ADJ,41
influentia,NOUN,41
iniquitas,NOUN,41
aristoteles,NOUN,41
planto,VERB,41
communico,ADJ,41
exercitus,NOUN,41
liberatio,NOUN,41
tempto,VERB,41
excito,VERB,41
intelligibilis,ADJ,41
tempto,NOUN,41
mundo,NOUN,40
esca,NOUN,40
uirtuosus,ADJ,40
dionysius,NOUN,40
cupio,VERB,40
suscipio,VERB,40
complaceo,VERB,40
angelicus,ADJ,40
seruitium,NOUN,40
aduersarius,NOUN,40
corona,NOUN,40
aduersitas,VERB,40
hebraeus,ADJ,40
latitudo,NOUN,40
egredior,ADJ,40
arca,NOUN,40
percipio,VERB,40
exemplar,ADJ,40
societas,NOUN,40
odor,NOUN,40
praedicator,NOUN,39
rete,NOUN,39
sempiternus,ADJ,39
albus,ADJ,39
rector,NOUN,39
religiosus,ADJ,39
daemon,NOUN,39
dispono,VERB,39
sapiens,VERB,39
occulo,NOUN,39
fluo,NOUN,39
aptus,ADJ,39
remitto,VERB,39
dirigo,VERB,39
lateo,NOUN,39
johan,PROPN,39
lucerna,NOUN,39
conclusio,NOUN,39
exercitium,NOUN,39
prohibeo,VERB,39
nuptia,NOUN,39
pluralitas,NOUN,39
insum,NOUN,39
attingo,ADJ,39
admiratio,NOUN,39
orno,ADJ,38
amabilis,ADJ,38
receptio,NOUN,38
nomino,ADJ,38
laboro,VERB,38
excelsus,ADJ,38
pacificus,ADJ,38
emitto,VERB,38
reputo,VERB,38
manifestus,ADJ,38
ancilla,NOUN,38
innocens,ADJ,38
partus,NOUN,38
alienus,ADJ,38
gladius,NOUN,38
unctio,NOUN,38
matrimonium,NOUN,38
produco,VERB,38
mediator,ADJ,38
abeo,VERB,38
fleo,VERB,38
mandatum,NOUN,37
quantitas,NOUN,37
cibo,NOUN,37
nouissimus,ADJ,37
compleo,VERB,37
genitus,VERB,37
termino,NOUN,37
capacitas,NOUN,37
iubeo,VERB,37
tendo,VERB,37
macula,NOUN,37
mundanus,ADJ,37
excellentia,NOUN,37
turbo,NOUN,37
iustificatio,NOUN,37
nutrio,NOUN,36
genero,PROPN,36
mitis,ADJ,36
ierusalem,ADJ,36
triticum,NOUN,36
melior,ADJ,36
bestia,NOUN,36
flos,NOUN,36
produco,NOUN,36
fructifico,NOUN,36
pius,ADJ,36
artifex,NOUN,36
argumentum,NOUN,36
uestimentum,NOUN,36
refero,VERB,36
duplex,ADJ,36
separatio,NOUN,36
expello,NOUN,36
attraho,NOUN,36
adiutorium,NOUN,36
tribulatio,NOUN,36
episcopus,NOUN,36
cursus,NOUN,36
extrinsecus,ADV,36
elicio,VERB,36
interrogo,VERB,36
latro,NOUN,36
conexio,NOUN,36
congregatio,NOUN,36
consummatio,NOUN,35
cena,NOUN,35
actio,NOUN,35
casus,NOUN,35
finio,NOUN,35
cathedra,NOUN,35
usus,NOUN,35
restituo,VERB,35
sino,VERB,35
maiestas,NOUN,35
solaris,ADJ,35
mirus,ADJ,35
exaudio,VERB,35
deceptio,NOUN,35
ascensus,NOUN,35
delicio,NOUN,35
praesuppono,VERB,35
grauis,ADJ,34
opto,VERB,34
conspectus,NOUN,34
grex,NOUN,34
conformitas,NOUN,34
resisto,VERB,34
edo,VERB,34
catholicus,ADJ,34
purgo,ADP,34
consuetudo,NOUN,34
periculum,NOUN,34
reduco,VERB,34
consors,NOUN,34
publicus,ADJ,34
summum,ADJ,34
desum,VERB,34
falsus,ADJ,34
entitas,NOUN,34
paruulus,ADJ,34
appetitus,NOUN,34
uenter,ADV,34
coincido,VERB,34
impetro,NOUN,34
admiror,VERB,34
electio,NOUN,34
deduco,VERB,34
vinco,NOUN,34
assimilatio,NOUN,34
animalis,NOUN,33
lutum,NOUN,33
candela,NOUN,33
psalmus,NOUN,33
allego,VERB,33
adoptio,NOUN,33
diffundo,VERB,33
mendacium,NOUN,33
firmus,ADJ,33
oleum,NOUN,33
utor,NOUN,33
epistola,NOUN,33
possessio,NOUN,33
arbitrium,NOUN,33
triumpho,NOUN,33
affirmo,VERB,33
consilium,NOUN,33
redigo,VERB,33
uniuersalis,ADJ,33
merx,NOUN,33
satio,NOUN,33
comparatio,NOUN,33
requiesco,VERB,33
multiplico,ADJ,33
quietus,ADJ,33
proles,NOUN,33
sanitas,NOUN,32
affero,VERB,32
uerax,ADJ,32
manduco,VERB,32
resuscito,VERB,32
canticum,NOUN,32
dauid,NOUN,32
perdo,VERB,32
nobilitas,NOUN,32
uarietas,NOUN,32
immunditia,NOUN,32
uacuus,ADJ,32
proprietas,NOUN,32
dependeo,VERB,32
moralis,ADJ,32
magisterium,NOUN,32
delicia,NOUN,32
prophetis,NOUN,32
soluo,DET,32
sacerdotium,NOUN,32
herba,NOUN,32
unguentum,NOUN,32
firmamentum,NOUN,32
aetas,NOUN,32
elisabeth,NOUN,32
peccatrix,NOUN,32
castellum,NOUN,32
tenebrosus,ADJ,31
recedo,NOUN,31
festiuitas,NOUN,31
manna,NOUN,31
regeneratio,NOUN,31
testis,NOUN,31
prouerbium,NOUN,31
auctoritas,NOUN,31
exerceo,VERB,31
inflammo,ADV,31
dignitas,NOUN,31
adduco,VERB,31
dispositio,NOUN,31
caelestialis,ADJ,31
altior,ADJ,31
mortifico,VERB,31
conuersatio,NOUN,31
milito,VERB,31
ineffabilis,ADJ,31
respectus,NOUN,31
longus,ADJ,31
uestigium,NOUN,31
inoboedientia,NOUN,31
cedo,VERB,31
martha,NOUN,31
sterilis,ADJ,31
ministerium,NOUN,31
ignio,NOUN,31
malitia,NOUN,31
agnosco,VERB,31
dispensatio,NOUN,31
uinculum,NOUN,31
sara,NOUN,31
sublimitas,NOUN,31
particularis,ADJ,30
potus,NOUN,30
conforto,ADJ,30
praemium,NOUN,30
corrumpo,VERB,30
ortus,VERB,30
introduco,VERB,30
margarita,NOUN,30
humiliatio,NOUN,30
consideratio,NOUN,30
persequor,VERB,30
desponso,NOUN,30
impero,VERB,30
stabilis,ADJ,30
amicitia,NOUN,30
fundo,NOUN,30
diuersitas,NOUN,30
extendo,VERB,30
apto,ADJ,30
affectio,NOUN,30
apostolicus,ADJ,30
defero,VERB,30
triplex,ADJ,30
logus,NOUN,30
praeparo,VERB,30
debitor,NOUN,30
ciuis,ADJ,30
iniustus,ADJ,30
puritas,NOUN,30
possibilitas,NOUN,30
resurgo,NOUN,30
subiungo,VERB,29
priuo,ADJ,29
paro,NOUN,29
merces,NOUN,29
mos,NOUN,29
unigenitus,ADJ,29
incarnatio,NOUN,29
arbitror,VERB,29
abundo,VERB,29
uiuifico,ADJ,29
effluo,NOUN,29
supernus,ADJ,29
uestio,NOUN,29
sion,NOUN,29
patior,ADJ,29
diligentia,NOUN,29
peruenio,ADJ,29
ephesius,NOUN,29
exsisto,ADJ,29
contingo,VERB,29
infundo,VERB,29
exprimo,ADJ,29
legatio,NOUN,29
excedo,VERB,29
depono,VERB,29
amaritudo,NOUN,29
glorior,ADJ,29
delecto,VERB,29
nouitas,NOUN,29
sapor,NOUN,29
rationabilis,ADJ,29
instrumentum,NOUN,29
consentio,VERB,29
motus,VERB,28
assimilo,ADJ,28
specto,VERB,28
felix,ADJ,28
reparo,VERB,28
frigiditas,NOUN,28
ieiunium,NOUN,28
successor,NOUN,28
lauo,ADJ,28
compatior,ADJ,28
dormio,NOUN,28
profundus,ADJ,28
praepono,VERB,28
soror,NOUN,28
prodeo,VERB,28
exhibeo,VERB,28
induo,ADJ,28
effundo,VERB,28
inspiro,ADV,28
corruptio,NOUN,28
erro,NOUN,28
persuadeo,VERB,28
impono,VERB,28
excuso,VERB,28
utilis,ADJ,28
uas,NOUN,28
tactus,NOUN,28
organum,NOUN,28
ualor,NOUN,28
isaac,ADJ,28
tango,VERB,27
terribilis,ADJ,27
eucharistia,NOUN,27
accido,ADJ,27
concurro,VERB,27
recurro,VERB,27
incomprehensibilis,ADJ,27
missio,NOUN,27
appello,VERB,27
explano,ADJ,27
intelligens,VERB,27
redemptio,NOUN,27
uicis,ADJ,27
transeo,VERB,27
figuro,ADV,27
cogitatio,NOUN,27
inhabito,ADJ,27
praeuideo,VERB,27
thronus,NOUN,27
castitas,NOUN,27
deuenio,VERB,27
nubes,NOUN,27
pretium,NOUN,27
exigo,VERB,27
effectus,NOUN,27
actiuus,ADJ,27
octauus,ADJ,27
proportio,NOUN,27
puteus,NOUN,27
uictor,NOUN,27
prudens,ADJ,27
suauitas,NOUN,27
petitio,NOUN,27
calculus,NOUN,27
turbatio,NOUN,27
diuitiae,NOUN,27
maria,ADJ,27
eua,NOUN,27
semino,VERB,27
glacies,NOUN,27
infero,VERB,26
odi,VERB,26
admitto,VERB,26
johannis,NOUN,26
alo,NOUN,26
inuidia,NOUN,26
concedo,VERB,26
erigo,NOUN,26
assero,VERB,26
figo,NOUN,26
papa,NOUN,26
durus,ADJ,26
obumbro,NOUN,26
deitas,NOUN,26
aenigma,NOUN,26
iohannes,NOUN,26
subsum,VERB,26
spina,NOUN,26
occupo,NOUN,26
articulus,NOUN,26
infimus,ADJ,26
pascuum,NOUN,26
luco,NOUN,26
magdalenus,ADJ,26
cultus,NOUN,26
mensuro,VERB,26
illucesco,VERB,26
superbus,ADJ,25
occurro,ADV,25
sufficio,VERB,25
distinctio,NOUN,25
formalis,ADJ,25
clarifico,ADJ,25
moysis,ADJ,25
parens,VERB,25
parabola,NOUN,25
sanctitas,NOUN,25
flamma,NOUN,25
uirginitas,NOUN,25
interpretor,NOUN,25
conceptio,NOUN,25
hodiernus,ADJ,25
promissum,VERB,25
adapto,VERB,25
caelus,NOUN,25
substantialis,ADJ,25
militia,NOUN,25
lectio,NOUN,25
platonicus,ADJ,25
hierarchia,NOUN,25
exodus,NOUN,25
subtraho,VERB,25
hortus,NOUN,25
satan,NOUN,25
coincidentia,VERB,25
circulus,NOUN,25
facies,NOUN,25
compassio,NOUN,25
influo,ADJ,25
galilaeus,ADJ,25
euangelizo,ADJ,25
baptisma,NOUN,25
gesto,VERB,25
elia,NOUN,25
frigidus,ADJ,24
retributio,NOUN,24
miles,NOUN,24
parens,ADJ,24
ingenium,NOUN,24
synagoga,NOUN,24
uas,VERB,24
legatus,VERB,24
maria,NOUN,24
purissimus,ADJ,24
